"","ID","Zone","Level","Region","Ubication","Employees","Taxes","Years","NIh","Nig","Income"
"325","AB0000014978","County28","Small",2,"C0160484K0141413",18,2,37.7,25,1454,224
"326","AB0000014979","County28","Small",2,"C0094768K0207129",13,0.5,16.9,25,1454,101
"327","AB0000015006","County28","Small",2,"C0075548K0226349",58,0.5,35.7,25,1454,130
"328","AB0000015029","County28","Small",2,"C0210817K0091080",56,1,31.4,25,1454,162
"329","AB0000015033","County28","Small",2,"C0263113K0038784",25,0.5,11.5,25,1454,97
"330","AB0000015060","County28","Small",2,"C0235192K0066705",5,0.5,42.2,25,1454,91
"331","AB0000015068","County28","Small",2,"C0127867K0174030",68,1,29.5,25,1454,162
"332","AB0000015113","County28","Small",2,"C0213592K0088305",44,10,6.8,25,1454,470
"333","AB0000015116","County28","Small",2,"C0278661K0023236",74,8,47.3,25,1454,440
"334","AB0000015120","County28","Small",2,"C0267313K0034584",98,6,22.8,25,1454,370
"335","AB0000015127","County28","Small",2,"C0117424K0184473",50,9,49.8,25,1454,450
"336","AB0000015132","County28","Small",2,"C0028122K0273775",92,5,40.7,25,1454,350
"337","AB0000015148","County28","Small",2,"C0251374K0050523",84,7,46.9,25,1454,420
"338","AB0000015177","County28","Small",2,"C0201663K0100234",82,8,48.7,25,1454,440
"339","AB0000015179","County28","Small",2,"C0130250K0171647",32,10,1.7,25,1454,468
"340","AB0000015186","County28","Small",2,"C0273233K0028664",70,9,43.4,25,1454,450
"341","AB0000015240","County28","Small",2,"C0079449K0222448",46,0.5,26.7,25,1454,129
"342","AB0000015244","County28","Small",2,"C0074376K0227521",23,6,30,25,1454,390
"343","AB0000015255","County28","Small",2,"C0127519K0174378",54,10.5,16.9,25,1454,490
"344","AB0000015265","County28","Small",2,"C0021372K0280525",94,6,38.3,25,1454,385
"345","AB0000015290","County28","Small",2,"C0151630K0150267",52,7,26.1,25,1454,411
"346","AB0000015328","County28","Small",2,"C0040168K0261729",37,10,34.6,25,1454,480
"347","AB0000015336","County28","Small",2,"C0072063K0229834",60,8,24,25,1454,420
"348","AB0000015337","County28","Small",2,"C0145765K0156132",43,6,18.4,25,1454,390
"349","AB0000015346","County28","Small",2,"C0106724K0195173",70,9,18,25,1454,449
"350","AB0000015353","County28","Small",2,"C0055889K0246008",81,10,20.4,25,1454,480
"351","AB0000015361","County28","Small",2,"C0103083K0198814",63,9,13.5,25,1454,452
"352","AB0000015374","County28","Small",2,"C0089081K0212816",68,5,13.2,25,1454,340
"353","AB0000015402","County28","Small",2,"C0217061K0084836",69,6,25.8,25,1454,366
"354","AB0000015424","County28","Small",2,"C0054841K0247056",78,0.5,28.8,25,1454,110
"355","AB0000015427","County28","Small",2,"C0014047K0287850",17,5,21.1,25,1454,360
"356","AB0000015431","County28","Small",2,"C0098058K0203839",67,4,20.9,25,1454,320
"357","AB0000015450","County28","Small",2,"C0071728K0230169",35,4,46.1,25,1454,320
"358","AB0000015454","County28","Small",2,"C0146468K0155429",73,8,34.8,25,1454,435
"359","AB0000015516","County28","Small",2,"C0269718K0032179",47,7,3.4,25,1454,392
"360","AB0000015628","County28","Small",2,"C0300196K0001701",84,1,24.8,25,1454,183
"361","AB0000015644","County28","Small",2,"C0038821K0263076",27,1,19.7,25,1454,156
"362","AB0000015660","County28","Small",2,"C0186396K0115501",12,1,17.8,25,1454,184
"363","AB0000015685","County28","Small",2,"C0161892K0140005",7,0.5,28.2,25,1454,138
"364","AB0000015709","County28","Small",2,"C0301157K0000740",32,1,41.6,25,1454,174
"365","AB0000015753","County28","Small",2,"C0108798K0193099",39,0.5,5.4,25,1454,142
"366","AB0000015770","County28","Small",2,"C0263959K0037938",34,0.5,43.3,25,1454,118
"367","AB0000015777","County28","Small",2,"C0153963K0147934",86,2,42.9,25,1454,230
"368","AB0000015809","County28","Small",2,"C0279520K0022377",17,1,5.3,25,1454,200
"369","AB0000016335","County3","Medium",1,"C0200485K0101412",42,19,12.4,25,413,620
"370","AB0000016344","County3","Medium",1,"C0091846K0210051",99,19,45.1,25,413,620
"371","AB0000016345","County3","Medium",1,"C0181788K0120109",118,22,3,25,413,660
"372","AB0000016406","County3","Medium",1,"C0156430K0145467",127,42,36.6,25,413,930
"373","AB0000016462","County3","Medium",1,"C0077044K0224853",98,33,29.5,25,413,820
"374","AB0000016465","County3","Medium",1,"C0046460K0255437",118,41,1.8,25,413,920
"375","AB0000016470","County3","Medium",1,"C0169404K0132493",30,16,23.7,25,413,584
"376","AB0000016484","County3","Medium",1,"C0295183K0006714",65,21,29.8,25,413,650
"377","AB0000016494","County3","Medium",1,"C0026233K0275664",60,17,24.3,25,413,600
"378","AB0000016498","County3","Medium",1,"C0262618K0039279",55,14,8.6,25,413,550
"379","AB0000016500","County3","Medium",1,"C0266351K0035546",54,16,35.5,25,413,580
"380","AB0000016506","County3","Medium",1,"C0191644K0110253",108,28,15.5,25,413,750
"381","AB0000016509","County3","Medium",1,"C0191174K0110723",121,30,13.4,25,413,780
"382","AB0000016511","County3","Medium",1,"C0034364K0267533",96,32,49.1,25,413,810
"383","AB0000016521","County3","Medium",1,"C0231984K0069913",120,38,38.2,25,413,880
"384","AB0000016523","County3","Medium",1,"C0079561K0222336",66,25,24.2,25,413,700
"385","AB0000016570","County3","Medium",1,"C0219143K0082754",51,28,36.6,25,413,750
"386","AB0000016590","County3","Medium",1,"C0215396K0086501",103,38,10.4,25,413,879
"387","AB0000016599","County3","Medium",1,"C0257626K0044271",89,29,38.1,25,413,770
"388","AB0000016632","County3","Medium",1,"C0276353K0025544",84,43,37.2,25,413,946
"389","AB0000016645","County3","Medium",1,"C0082203K0219694",95,23,23.9,25,413,670
"390","AB0000016682","County3","Medium",1,"C0053639K0248258",93,18,46.4,25,413,610
"391","AB0000016689","County3","Medium",1,"C0126014K0175883",65,21,31.6,25,413,648
"392","AB0000016716","County3","Big",1,"C0279598K0022299",146,59,3.9,25,83,1121
"393","AB0000016718","County3","Big",1,"C0035690K0266207",109,59,41.6,25,83,1118
"394","AB0000016745","County3","Big",1,"C0224190K0077707",172,68,7.1,25,83,1300
"395","AB0000016753","County3","Big",1,"C0269476K0032421",76,50,2.7,25,83,1008
"396","AB0000016759","County3","Big",1,"C0013260K0288637",100,64,21,25,83,1250
"397","AB0000016767","County3","Big",1,"C0055267K0246630",145,51,8.2,25,83,1030
"398","AB0000016768","County3","Big",1,"C0299350K0002547",89,50,17.2,25,83,1020
"399","AB0000016787","County3","Small",1,"C0181832K0120065",36,7,13.9,25,1452,411
"400","AB0000016795","County3","Small",1,"C0021939K0279958",94,9,10.3,25,1452,450
"401","AB0000016822","County3","Small",1,"C0135032K0166865",37,8,23.1,25,1452,430
"402","AB0000016849","County3","Small",1,"C0253447K0048450",24,7,41.7,25,1452,410
"403","AB0000016854","County3","Small",1,"C0126007K0175890",83,2,24.5,25,1452,238
"404","AB0000016959","County3","Small",1,"C0057534K0244363",77,3,16.1,25,1452,290
"405","AB0000016971","County3","Small",1,"C0177726K0124171",61,3,27.6,25,1452,280
"406","AB0000016988","County3","Small",1,"C0068525K0233372",74,6,32.9,25,1452,370
"407","AB0000017001","County3","Small",1,"C0103022K0198875",17,0.5,6.1,25,1452,54
"408","AB0000017023","County3","Small",1,"C0254625K0047272",57,0.5,23.4,25,1452,62
"409","AB0000017029","County3","Small",1,"C0017866K0284031",76,3,19.6,25,1452,270
"410","AB0000017061","County3","Small",1,"C0236059K0065838",84,5,29.4,25,1452,337
"411","AB0000017067","County3","Small",1,"C0051874K0250023",70,0.5,36.9,25,1452,118
"412","AB0000017086","County3","Small",1,"C0300103K0001794",38,2,27.9,25,1452,230
"413","AB0000017088","County3","Small",1,"C0243996K0057901",6,2,37.1,25,1452,227
"414","AB0000017094","County3","Small",1,"C0108412K0193485",55,2,45.1,25,1452,232
"415","AB0000017120","County3","Small",1,"C0148076K0153821",13,3,9.5,25,1452,280
"416","AB0000017129","County3","Small",1,"C0106674K0195223",22,2,44.5,25,1452,220
"417","AB0000017132","County3","Small",1,"C0015989K0285908",54,2,38.2,25,1452,218
"418","AB0000017137","County3","Small",1,"C0167258K0134639",52,3,43.1,25,1452,268
"419","AB0000017140","County3","Small",1,"C0088665K0213232",86,4,36.8,25,1452,313
"420","AB0000017246","County3","Small",1,"C0111899K0189998",97,6,45.3,25,1452,369
"421","AB0000017247","County3","Small",1,"C0146537K0155360",42,2,49.6,25,1452,229
"422","AB0000017266","County3","Small",1,"C0298354K0003543",38,2,35,25,1452,222
"423","AB0000017269","County3","Small",1,"C0119513K0182384",55,2,11.4,25,1452,242
"424","AB0000017304","County3","Small",1,"C0283598K0018299",24,1,45.1,25,1452,180
"425","AB0000017310","County3","Small",1,"C0113473K0188424",45,0.5,24.7,25,1452,1
"426","AB0000017336","County3","Small",1,"C0052106K0249791",23,0.5,48.3,25,1452,137
"427","AB0000017357","County3","Small",1,"C0241526K0060371",84,1,45.7,25,1452,164
"428","AB0000017362","County3","Small",1,"C0104873K0197024",43,1,16.2,25,1452,152
"429","AB0000017373","County3","Small",1,"C0296138K0005759",25,1,42.3,25,1452,190
"430","AB0000017387","County3","Small",1,"C0140041K0161856",23,1,23.9,25,1452,158
"431","AB0000017403","County3","Small",1,"C0128919K0172978",46,0.5,19,25,1452,131
"432","AB0000017423","County3","Small",1,"C0299349K0002548",42,0.5,27.8,25,1452,120
"433","AB0000017464","County3","Small",1,"C0021844K0280053",68,1,10.3,25,1452,162
"434","AB0000017470","County3","Small",1,"C0269950K0031947",27,1,44.7,25,1452,151
"435","AB0000017502","County3","Small",1,"C0085784K0216113",18,6,18.1,25,1452,380
"436","AB0000017503","County3","Small",1,"C0040725K0261172",64,5,26.7,25,1452,335
"437","AB0000017509","County3","Small",1,"C0136259K0165638",44,10,7.8,25,1452,470
"438","AB0000017512","County3","Small",1,"C0078590K0223307",74,8,17.5,25,1452,440
"439","AB0000017535","County3","Small",1,"C0186873K0115024",33,8,26.4,25,1452,430
"440","AB0000017574","County3","Small",1,"C0211191K0090706",76,10,34,25,1452,470
"441","AB0000017593","County3","Small",1,"C0000518K0301379",28,7,22.1,25,1452,410
"442","AB0000017596","County3","Small",1,"C0177702K0124195",31,6,10.4,25,1452,390
"443","AB0000017614","County3","Small",1,"C0288532K0013365",94,8,12.4,25,1452,440
"444","AB0000017615","County3","Small",1,"C0087183K0214714",64,7,13.9,25,1452,407
"445","AB0000017634","County3","Small",1,"C0151911K0149986",97,5,25.8,25,1452,363
"446","AB0000017640","County3","Small",1,"C0206726K0095171",23,6,41.2,25,1452,390
"447","AB0000017702","County3","Small",1,"C0141594K0160303",57,8,48.8,25,1452,427
"448","AB0000017725","County3","Small",1,"C0186974K0114923",44,1,8.1,25,1452,185
"449","AB0000017789","County3","Small",1,"C0193872K0108025",101,8,47,25,1452,430
"450","AB0000017812","County3","Small",1,"C0297954K0003943",41,5,22.4,25,1452,360
"451","AB0000017818","County3","Small",1,"C0279726K0022171",85,6,33.7,25,1452,365
"452","AB0000017848","County3","Small",1,"C0032575K0269322",50,6,39.8,25,1452,373
"453","AB0000017868","County3","Small",1,"C0277601K0024296",73,5,17.7,25,1452,360
"454","AB0000017871","County3","Small",1,"C0046493K0255404",74,8,17,25,1452,440
"455","AB0000017879","County3","Small",1,"C0034735K0267162",87,7,6,25,1452,400
"456","AB0000017900","County3","Small",1,"C0042917K0258980",76,10,17.5,25,1452,466
"457","AB0000017913","County3","Small",1,"C0023642K0278255",97,8,6.2,25,1452,433
"458","AB0000017927","County3","Small",1,"C0209415K0092482",25,5,3.3,25,1452,354
"459","AB0000017933","County3","Small",1,"C0264792K0037105",81,8,1.2,25,1452,421
"460","AB0000018005","County3","Small",1,"C0087801K0214096",25,0.5,30.1,25,1452,82
"461","AB0000018007","County3","Small",1,"C0257575K0044322",25,0.5,36,25,1452,85
"462","AB0000018034","County3","Small",1,"C0076686K0225211",29,0.5,2.7,25,1452,95
"463","AB0000018067","County3","Small",1,"C0023355K0278542",69,0.5,48.3,25,1452,52
"464","AB0000018071","County3","Small",1,"C0298921K0002976",22,0.5,14.6,25,1452,121
"465","AB0000018074","County3","Small",1,"C0031067K0270830",75,1,8.5,25,1452,151
"466","AB0000018092","County3","Small",1,"C0220149K0081748",59,1,11,25,1452,151
"467","AB0000018095","County3","Small",1,"C0142626K0159271",14,0.5,37.5,25,1452,127
"468","AB0000018111","County3","Small",1,"C0118044K0183853",72,1,23.7,25,1452,167
"469","AB0000018112","County3","Small",1,"C0061274K0240623",27,0.5,26.1,25,1452,145
"470","AB0000018116","County3","Small",1,"C0265199K0036698",55,0.5,33.5,25,1452,143
"471","AB0000018148","County3","Small",1,"C0196132K0105765",23,1,21.3,25,1452,153
"472","AB0000018163","County3","Small",1,"C0224860K0077037",85,0.5,43,25,1452,76
"473","AB0000018197","County3","Small",1,"C0017521K0284376",52,2,27,25,1452,257
"474","AB0000018251","County30","Small",2,"C0259675K0042222",17,3,45.8,25,124,278
"475","AB0000018262","County30","Small",2,"C0005926K0295971",79,2,2.9,25,124,236
"476","AB0000018266","County30","Small",2,"C0135003K0166894",44,3,45.3,25,124,274
"477","AB0000018275","County30","Small",2,"C0248725K0053172",68,3,45,25,124,266
"478","AB0000018289","County30","Small",2,"C0177888K0124009",22,2,26.1,25,124,218
"479","AB0000018301","County30","Small",2,"C0214775K0087122",84,1,25.3,25,124,176
"480","AB0000018308","County30","Small",2,"C0131676K0170221",86,2,2.8,25,124,220
"481","AB0000018324","County30","Small",2,"C0112764K0189133",89,10,7.1,25,124,480
"482","AB0000018328","County30","Small",2,"C0294806K0007091",37,8,48.5,25,124,430
"483","AB0000018385","County30","Medium",2,"C0295933K0005964",53,30,6.8,25,206,772
"484","AB0000018390","County30","Medium",2,"C0054823K0247074",61,13,3.3,25,206,532
"485","AB0000018423","County30","Medium",2,"C0132528K0169369",127,43,44.3,25,206,937
"486","AB0000018432","County30","Medium",2,"C0210667K0091230",111,22,21.9,25,206,670
"487","AB0000018457","County30","Medium",2,"C0277828K0024069",80,23,23.1,25,206,680
"488","AB0000018460","County30","Medium",2,"C0079716K0222181",63,32,29.9,25,206,798
"489","AB0000018471","County30","Medium",2,"C0212299K0089598",45,18,12.2,25,206,610
"490","AB0000018492","County30","Medium",2,"C0283968K0017929",38,13,6,25,206,540
"491","AB0000018494","County30","Medium",2,"C0232231K0069666",92,12,46.8,25,206,512
"492","AB0000018502","County30","Medium",2,"C0263967K0037930",113,36,36.4,25,206,850
"493","AB0000018537","County30","Medium",2,"C0014789K0287108",149,44,19.4,25,206,958
"494","AB0000018540","County30","Medium",2,"C0038947K0262950",94,30,23.3,25,206,780
"495","AB0000018551","County30","Medium",2,"C0024720K0277177",112,20,11.7,25,206,632
"496","AB0000019184","County32","Small",2,"C0082195K0219702",12,5,49.2,25,1454,340
"497","AB0000019245","County32","Small",2,"C0296753K0005144",24,7,7.6,25,1454,410
"498","AB0000019250","County32","Small",2,"C0075988K0225909",83,2,26.2,25,1454,238
"499","AB0000019252","County32","Small",2,"C0183048K0118849",65,10.5,45.9,25,1454,481
"500","AB0000019254","County32","Small",2,"C0189433K0112464",75,9,18.2,25,1454,456
"501","AB0000019256","County32","Small",2,"C0125697K0176200",34,10.5,7.8,25,1454,494
"502","AB0000019267","County32","Small",2,"C0132915K0168982",49,10,11.3,25,1454,480
"503","AB0000019293","County32","Small",2,"C0128543K0173354",29,3,43.9,25,1454,290
"504","AB0000019308","County32","Small",2,"C0122422K0179475",83,2,23.1,25,1454,250
"505","AB0000019328","County32","Small",2,"C0189418K0112479",49,1,15.9,25,1454,200
"506","AB0000019336","County32","Small",2,"C0262138K0039759",78,4,46.1,25,1454,314
"507","AB0000019348","County32","Small",2,"C0037684K0264213",60,5,25.7,25,1454,340
"508","AB0000019365","County32","Small",2,"C0032822K0269075",50,2,46.2,25,1454,220
"509","AB0000019370","County32","Small",2,"C0159902K0141995",57,3,40,25,1454,290
"510","AB0000019459","County32","Small",2,"C0190866K0111031",51,4,12.3,25,1454,320
"511","AB0000019467","County32","Small",2,"C0132548K0169349",42,2,1.9,25,1454,225
"512","AB0000019471","County32","Small",2,"C0047442K0254455",27,4,35.1,25,1454,330
"513","AB0000019486","County32","Small",2,"C0153531K0148366",12,2,17.7,25,1454,260
"514","AB0000019498","County32","Small",2,"C0273704K0028193",84,5,41.8,25,1454,344
"515","AB0000019516","County32","Small",2,"C0106358K0195539",13,3,25.8,25,1454,280
"516","AB0000019532","County32","Small",2,"C0155002K0146895",6,2,30.4,25,1454,227
"517","AB0000019646","County32","Small",2,"C0236499K0065398",35,2,41.9,25,1454,233
"518","AB0000019668","County32","Small",2,"C0153451K0148446",45,3,48.1,25,1454,296
"519","AB0000019693","County32","Small",2,"C0261601K0040296",40,1,8.3,25,1454,176
"520","AB0000019724","County32","Small",2,"C0256993K0044904",32,1,44.4,25,1454,170
"521","AB0000019748","County32","Small",2,"C0098977K0202920",48,1,35,25,1454,179
"522","AB0000019766","County32","Small",2,"C0130101K0171796",78,2,30,25,1454,226
"523","AB0000019775","County32","Small",2,"C0196166K0105731",73,1,5.3,25,1454,188
"524","AB0000019779","County32","Small",2,"C0060181K0241716",9,1,7.7,25,1454,204
"525","AB0000019783","County32","Small",2,"C0172107K0129790",23,1,12.4,25,1454,158
"526","AB0000019794","County32","Small",2,"C0141669K0160228",41,0.5,4.5,25,1454,101
"527","AB0000019812","County32","Small",2,"C0025714K0276183",85,0.5,49.3,25,1454,100
"528","AB0000019831","County32","Small",2,"C0206560K0095337",74,1,25.1,25,1454,209
"529","AB0000019832","County32","Small",2,"C0222071K0079826",64,1,42.8,25,1454,181
"530","AB0000019837","County32","Small",2,"C0088766K0213131",22,0.5,23,25,1454,110
"531","AB0000019843","County32","Small",2,"C0174394K0127503",82,0.5,33.9,25,1454,131
"532","AB0000019873","County32","Small",2,"C0090375K0211522",40,1,16.5,25,1454,181
"533","AB0000019888","County32","Small",2,"C0275994K0025903",51,0.5,33.4,25,1454,135
"534","AB0000019919","County32","Small",2,"C0235458K0066439",50,9,40.3,25,1454,450
"535","AB0000019959","County32","Small",2,"C0151244K0150653",59,7,43,25,1454,390
"536","AB0000019970","County32","Small",2,"C0264881K0037016",76,10,4.9,25,1454,470
"537","AB0000020019","County32","Small",2,"C0086934K0214963",37,8,34.8,25,1454,432
"538","AB0000020033","County32","Small",2,"C0061403K0240494",23,4,11.6,25,1454,324
"539","AB0000020084","County32","Small",2,"C0251421K0050476",38,6,9.5,25,1454,385
"540","AB0000020088","County32","Small",2,"C0098521K0203376",60,10,33.2,25,1454,470
"541","AB0000020092","County32","Small",2,"C0060675K0241222",37,10.5,2.9,25,1454,482
"542","AB0000020114","County32","Small",2,"C0238112K0063785",77,10,37.5,25,1454,480
"543","AB0000020160","County32","Small",2,"C0215466K0086431",5,1,27,25,1454,199
"544","AB0000020183","County32","Small",2,"C0239264K0062633",53,10,6.2,25,1454,480
"545","AB0000020209","County32","Small",2,"C0171575K0130322",93,8,5.3,25,1454,425
"546","AB0000020224","County32","Small",2,"C0280050K0021847",65,0.5,46.8,25,1454,89
"547","AB0000020232","County32","Small",2,"C0165918K0135979",53,10.5,9.6,25,1454,487
"548","AB0000020251","County32","Small",2,"C0234773K0067124",87,7,19.9,25,1454,394
"549","AB0000020258","County32","Small",2,"C0106233K0195664",61,10,26.2,25,1454,477
"550","AB0000020314","County32","Small",2,"C0236520K0065377",51,9,40.3,25,1454,454
"551","AB0000020317","County32","Small",2,"C0182849K0119048",61,5,29.6,25,1454,356
"552","AB0000020375","County32","Small",2,"C0296056K0005841",46,6,48.7,25,1454,375
"553","AB0000020382","County32","Small",2,"C0133599K0168298",29,6,23,25,1454,369
"554","AB0000020397","County32","Small",2,"C0269637K0032260",9,0.5,39.2,25,1454,98
"555","AB0000020409","County32","Small",2,"C0030536K0271361",56,1,23.4,25,1454,185
"556","AB0000020410","County32","Small",2,"C0216147K0085750",48,1,40.1,25,1454,177
"557","AB0000020411","County32","Small",2,"C0190949K0110948",77,0.5,45.2,25,1454,23
"558","AB0000020420","County32","Small",2,"C0024122K0277775",84,1,48.4,25,1454,183
"559","AB0000020433","County32","Small",2,"C0032341K0269556",83,0.5,18.2,25,1454,143
"560","AB0000020491","County32","Small",2,"C0164673K0137224",14,0.5,33.9,25,1454,127
"561","AB0000020495","County32","Small",2,"C0238790K0063107",78,0.5,32.4,25,1454,119
"562","AB0000020501","County32","Small",2,"C0177447K0124450",32,1,18.5,25,1454,174
"563","AB0000020515","County32","Small",2,"C0290604K0011293",55,0.5,45.6,25,1454,134
"564","AB0000020521","County32","Small",2,"C0012657K0289240",53,0.5,20.8,25,1454,104
"565","AB0000020537","County32","Small",2,"C0108735K0193162",26,0.5,12.5,25,1454,114
"566","AB0000020541","County32","Small",2,"C0133311K0168586",82,0.5,25.2,25,1454,132
"567","AB0000020553","County32","Small",2,"C0016707K0285190",54,0.5,15.3,25,1454,119
"568","AB0000020557","County32","Small",2,"C0267071K0034826",76,1,30,25,1454,165
"569","AB0000020558","County32","Small",2,"C0102267K0199630",32,1,23,25,1454,168
"570","AB0000020595","County32","Small",2,"C0123092K0178805",78,2,25.1,25,1454,222
"571","AB0000023352","County35","Medium",2,"C0038647K0263250",84,17,8.3,25,330,600
"572","AB0000023392","County35","Medium",2,"C0016130K0285767",71,34,15.4,25,330,821
"573","AB0000023394","County35","Medium",2,"C0270805K0031092",72,15,19.6,25,330,567
"574","AB0000023410","County35","Medium",2,"C0069080K0232817",37,15,32.2,25,330,570
"575","AB0000023417","County35","Medium",2,"C0291580K0010317",65,21,26.3,25,330,645
"576","AB0000023430","County35","Medium",2,"C0004110K0297787",65,27,17.6,25,330,721
"577","AB0000023440","County35","Medium",2,"C0293173K0008724",59,23,29.1,25,330,672
"578","AB0000023447","County35","Medium",2,"C0078226K0223671",84,14,45.1,25,330,560
"579","AB0000023449","County35","Medium",2,"C0086875K0215022",65,13,29.3,25,330,525
"580","AB0000023452","County35","Medium",2,"C0129296K0172601",85,15,27.2,25,330,570
"581","AB0000023457","County35","Medium",2,"C0161228K0140669",96,12,47.1,25,330,510
"582","AB0000023479","County35","Medium",2,"C0180112K0121785",85,12,1.9,25,330,520
"583","AB0000023520","County35","Medium",2,"C0229456K0072441",87,14,9.9,25,330,550
"584","AB0000023544","County35","Medium",2,"C0300304K0001593",135,34,9.2,25,330,830
"585","AB0000023566","County35","Medium",2,"C0106865K0195032",109,16,2.8,25,330,580
"586","AB0000023624","County35","Medium",2,"C0201929K0099968",68,18,20,25,330,600
"587","AB0000023630","County35","Medium",2,"C0056884K0245013",104,20,34.5,25,330,630
"588","AB0000023642","County35","Medium",2,"C0119667K0182230",111,19,35.7,25,330,630
"589","AB0000023663","County35","Medium",2,"C0283627K0018270",57,27,46.1,25,330,730
"590","AB0000023688","County36","Medium",2,"C0294156K0007741",54,16,22.6,25,201,580
"591","AB0000023704","County36","Medium",2,"C0035373K0266524",106,27,37.3,25,201,740
"592","AB0000023713","County36","Medium",2,"C0028445K0273452",33,18,34.9,25,201,601
"593","AB0000023721","County36","Medium",2,"C0099153K0202744",79,14,9.5,25,201,551
"594","AB0000023753","County36","Medium",2,"C0267903K0033994",92,40,40.5,25,201,892
"595","AB0000023756","County36","Medium",2,"C0024719K0277178",90,19,16.5,25,201,615
"596","AB0000023759","County36","Medium",2,"C0190981K0110916",64,35,6.5,25,201,830
"597","AB0000023786","County36","Medium",2,"C0010246K0291651",68,26,33.4,25,201,720
"598","AB0000023800","County36","Medium",2,"C0137829K0164068",113,48,21.1,25,201,990
"599","AB0000023801","County36","Medium",2,"C0299381K0002516",49,15,33.1,25,201,577
"600","AB0000023806","County36","Medium",2,"C0297308K0004589",63,34,13.4,25,201,830
"601","AB0000023871","County36","Medium",2,"C0117055K0184842",65,12,38.1,25,201,520
"602","AB0000023872","County36","Medium",2,"C0020321K0281576",54,13,39.3,25,201,540
"603","AB0000023884","County36","Big",2,"C0239463K0062434",90,52,30.8,25,83,1044
"604","AB0000023904","County36","Big",2,"C0276989K0024908",146,59,35.6,25,83,1121
"605","AB0000023912","County36","Big",2,"C0074782K0227115",158,142,45.8,25,83,1616
"606","AB0000023920","County36","Big",2,"C0009876K0292021",122,51,25.1,25,83,1030
"607","AB0000023928","County36","Big",2,"C0201615K0100282",149,50,34.9,25,83,1030
"608","AB0000023934","County36","Big",2,"C0263228K0038669",263,196,12,25,83,1911
"609","AB0000023945","County36","Big",2,"C0281771K0020126",86,51,42.6,25,83,1035
"610","AB0000023964","County36","Small",2,"C0051574K0250323",89,5,4.8,25,330,360
"611","AB0000023975","County36","Small",2,"C0191625K0110272",36,7,25.2,25,330,411
"612","AB0000023981","County36","Small",2,"C0270779K0031118",49,8,49.4,25,330,425
"613","AB0000024006","County36","Small",2,"C0078727K0223170",56,5,42.4,25,330,346
"614","AB0000024029","County36","Small",2,"C0143180K0158717",95,7,33.1,25,330,390
"615","AB0000024036","County36","Small",2,"C0168511K0133386",82,4,46.4,25,330,313
"616","AB0000024083","County36","Small",2,"C0217521K0084376",82,4,48.7,25,330,312
"617","AB0000024130","County36","Small",2,"C0011320K0290577",80,2,26.5,25,330,260
"618","AB0000024132","County36","Small",2,"C0240930K0060967",86,4,21.1,25,330,310
"619","AB0000024152","County36","Small",2,"C0219192K0082705",43,4,18.9,25,330,325
"620","AB0000024162","County36","Small",2,"C0043596K0258301",57,3,29.8,25,330,290
"621","AB0000024189","County36","Small",2,"C0047988K0253909",17,0.5,6.7,25,330,54
"622","AB0000024212","County36","Small",2,"C0271355K0030542",80,5,24.6,25,330,334
"623","AB0000024225","County36","Small",2,"C0045982K0255915",32,4,43.2,25,330,330
"624","AB0000024233","County36","Small",2,"C0282668K0019229",63,0.5,16.6,25,330,144
"625","AB0000024236","County36","Small",2,"C0089667K0212230",90,6,38,25,330,373
"626","AB0000024246","County36","Small",2,"C0261294K0040603",86,2,41.9,25,330,220
"627","AB0000024269","County36","Small",2,"C0206434K0095463",44,2,7.7,25,330,253
"628","AB0000024281","County36","Small",2,"C0207924K0093973",45,1,30.1,25,330,196
"629","AB0000024292","County37","Small",2,"C0091153K0210744",31,4,1.7,25,1246,316
"630","AB0000024339","County37","Small",2,"C0112105K0189792",48,2,35.8,25,1246,260
"631","AB0000024347","County37","Small",2,"C0174263K0127634",83,2,35.1,25,1246,248
"632","AB0000024372","County37","Small",2,"C0048750K0253147",35,2,35.3,25,1246,243
"633","AB0000024375","County37","Small",2,"C0183901K0117996",44,3,9,25,1246,268
"634","AB0000024382","County37","Small",2,"C0134763K0167134",83,4,12,25,1246,319
"635","AB0000024386","County37","Small",2,"C0150146K0151751",32,2,47.8,25,1246,260
"636","AB0000024387","County37","Small",2,"C0086963K0214934",24,1,28.6,25,1246,162
"637","AB0000024391","County37","Small",2,"C0051740K0250157",83,4,39.3,25,1246,319
"638","AB0000024416","County37","Small",2,"C0229526K0072371",23,2,20.6,25,1246,251
"639","AB0000024440","County37","Small",2,"C0197395K0104502",25,3,7.8,25,1246,280
"640","AB0000024458","County37","Small",2,"C0034035K0267862",25,3,42.2,25,1246,282
"641","AB0000024502","County37","Small",2,"C0271699K0030198",50,0.5,14.1,25,1246,130
"642","AB0000024505","County37","Small",2,"C0207055K0094842",59,0.5,42.4,25,1246,140
"643","AB0000024510","County37","Small",2,"C0063487K0238410",67,0.5,33,25,1246,142
"644","AB0000024527","County37","Small",2,"C0045062K0256835",74,2,4.1,25,1246,219
"645","AB0000024554","County37","Small",2,"C0043309K0258588",53,1,36.1,25,1246,200
"646","AB0000024584","County37","Small",2,"C0179094K0122803",30,1,26.9,25,1246,207
"647","AB0000024600","County37","Small",2,"C0281456K0020441",63,0.5,25.1,25,1246,141
"648","AB0000024612","County37","Small",2,"C0126882K0175015",77,0.5,35.1,25,1246,86
